CodDependencia,Dependencia,Tipo de Inversión,CodBPIN,Nombre_proy_Ajustado,Comuna,NomComuna,Inversion,Año,Corte,Codigo Dependencia,Nombre Proyecto,Nombre Comuna
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,30219.0,Apoyo Al Funcionamiento De Centros De Conciliación,99.0,Toda la Ciudad,"21,881,223",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40048.0,Guias Ciduadanos,7.0,Robledo,"135,598,200",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40053.0,Plan Desarme,50.0,San Sebastián de Palmitas,"3,068,101",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40200.0,Trabajo Con Población Reincidente,5.0,Castilla,"3,797,460",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40198.0,Intervención Social En Las Cárceles,5.0,Castilla,"28,354,307",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40048.0,Guias Ciduadanos,8.0,Villa Hermosa,"161,651,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40049.0,Ciudadanía De La Noche,8.0,Villa Hermosa,"21,500,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,10079.0,Mas Policias Para La Ciudad,99.0,Toda la Ciudad,"4,875,580,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,50080.0,PP MANUAL DE CONVIVENCIA,1.0,Popular,"31,500,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,20216.0,MANUTENCIÓN DE RECLUSOS Y RECLUSAS,99.0,Toda la Ciudad,"2,137,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40198.0,Intervención Social En Las Cárceles,2.0,Santa Cruz,"12,269,454",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,30227.0,Fortalecimiento De Las Comisarias De Familia Del Municipio De Medellin,99.0,Toda la Ciudad,"426,820,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,30229.0,El Inspector Y La Comunidad,99.0,Toda la Ciudad,"357,090,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,30233.0,Difusion  Y Control De La Publicidad Exterior Visual,99.0,Toda la Ciudad,"308,660,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,30234.0,Sensibilizacion Al Ciudadano,99.0,Toda la Ciudad,"218,180,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,30236.0,Gestión Pública,99.0,Toda la Ciudad,"10,940,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40049.0,Ciudadanía De La Noche,11.0,Laureles - Estadio,"21,500,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40049.0,Ciudadanía De La Noche,5.0,Castilla,"21,500,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,20213.0,Apoyo Institucional Para La Convivencia,99.0,Toda la Ciudad,"1,059,830,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,40316.0,PP FORTALECIMIENTO DE LAS RELACIONES FAMILIARES,2.0,Santa Cruz,"40,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40200.0,Trabajo Con Población Reincidente,10.0,La Candelaria,"1,582,275",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40198.0,Intervención Social En Las Cárceles,10.0,La Candelaria,"24,152,468",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,50044.0,PP PLAN DESARME,2.0,Santa Cruz,"40,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40048.0,Guias Ciduadanos,16.0,Belén,"10,847,942",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,40316.0,PP FORTALECIMIENTO DE LAS RELACIONES FAMILIARES,7.0,Robledo,"144,915,000",2008.0,31-Dic-2008,,,
